,LC1,LC2,LC3,sum,cal1,cal2,cal3
0,-7.0,5.0,1.0,-0.11,0.091,0.054,0.073
1,-9.0,20.0,3.0,0.59,0.091,0.054,0.073
2,-15.0,19.0,3.0,-0.11,0.091,0.054,0.073
3,-5.0,19.0,-11.0,0.06,0.091,0.054,0.073
4,4.0,6.0,-13.0,-0.31,0.091,0.054,0.073
5,4.0,7.0,-20.0,-0.86,0.091,0.054,0.073
6,46.0,13.0,18.0,6.17,0.091,0.054,0.073
7,12294.0,-8.0,1324.0,1208.69,0.091,0.054,0.073
8,26734.0,2.0,1869.0,2535.6,0.091,0.054,0.073
9,36109.0,13.0,2522.0,3435.87,0.091,0.054,0.073
10,44819.0,20.0,3340.0,4300.1,0.091,0.054,0.073
11,55965.0,15.0,4729.0,5409.5,0.091,0.054,0.073
12,57435.0,36.0,4680.0,5588.06,0.091,0.054,0.073
13,53658.0,58.0,3889.0,5137.94,0.091,0.054,0.073
14,45862.0,53.0,3561.0,4427.94,0.091,0.054,0.073
15,36264.0,42.0,2844.0,3505.64,0.091,0.054,0.073
16,22058.0,41.0,2241.0,2161.27,0.091,0.054,0.073
17,9115.0,47.0,912.0,925.03,0.091,0.054,0.073
18,64.0,37.0,-39.0,5.25,0.091,0.054,0.073
19,56.0,44.0,-29.0,5.44,0.091,0.054,0.073
20,61.0,35.0,-30.0,5.3,0.091,0.054,0.073
21,58.0,26.0,-39.0,3.82,0.091,0.054,0.073
22,37.0,10.0,-38.0,0.84,0.091,0.054,0.073
23,33.0,26.0,-28.0,2.36,0.091,0.054,0.073
24,41.0,25.0,-19.0,3.61,0.091,0.054,0.073
25,43.0,26.0,-7.0,4.79,0.091,0.054,0.073
26,46.0,1.0,-6.0,3.49,0.091,0.054,0.073
27,38.0,-5.0,-10.0,2.44,0.091,0.054,0.073
28,35.0,11.0,-9.0,3.25,0.091,0.054,0.073
29,53.0,17.0,-2.0,5.57,0.091,0.054,0.073
30,48.0,31.0,18.0,6.82,0.091,0.054,0.073
